cid,Probability of nonactivity,Probability of activity
3005551,0.5033041,0.4966959
90469779,0.5033042,0.49669582
10635061,0.50330526,0.49669474
45052555,0.503307,0.496693
124663253,0.5033076,0.4966924
124663254,0.5033076,0.4966924
77068305,0.5033076,0.4966924
6454582,0.50330806,0.4966919
470801,0.5033095,0.4966905
92264349,0.503312,0.49668798
512869,0.503312,0.49668798
488248,0.5033158,0.49668416
121487128,0.5033158,0.49668416
121487125,0.5033158,0.49668416
44316328,0.503317,0.49668303
60122232,0.503317,0.49668303
500902,0.503317,0.49668303
59844438,0.503317,0.49668303
92845515,0.503317,0.49668303
13871035,0.503317,0.49668303
13871033,0.503317,0.49668303
11666177,0.503319,0.49668097
3010355,0.50331944,0.49668056
54489690,0.5033228,0.49667722
11461625,0.503325,0.49667504
134220,0.5033252,0.4966748
6439649,0.5033252,0.4966748
6505368,0.5033252,0.4966748
121487306,0.50332654,0.49667346
135527049,0.50333107,0.49666893
136099021,0.5033327,0.49666733
23519675,0.50333595,0.49666405
67709179,0.50333846,0.49666157
135398701,0.5033397,0.4966603
139025115,0.50334066,0.49665934
21140199,0.50334275,0.49665722
135912870,0.503343,0.49665698
131875471,0.50334394,0.49665603
6482628,0.50334835,0.49665168
92301827,0.50334835,0.49665168
456203,0.50334924,0.49665076
5272148,0.50334984,0.49665016
131708761,0.5033518,0.49664816
97304120,0.5033519,0.49664804
87208407,0.5033529,0.49664715
92286289,0.50335395,0.49664605
13830101,0.503356,0.496644
136791445,0.5033578,0.49664217
65114,0.5033582,0.4966418
6976932,0.5033582,0.4966418
15607330,0.5033582,0.4966418
27556867,0.5033582,0.4966418
57116127,0.5033582,0.4966418
14286993,0.50335944,0.49664053
59504120,0.5033606,0.49663934
59504149,0.5033606,0.49663934
59504008,0.5033606,0.49663934
71387182,0.50336146,0.4966385
42637091,0.50336266,0.49663734
10611197,0.50336385,0.49663618
40628205,0.5033655,0.49663445
12517386,0.5033655,0.49663445
688101,0.5033655,0.49663445
3034627,0.5033655,0.49663445
3032615,0.5033655,0.49663445
11957910,0.50336653,0.49663347
77520711,0.5033681,0.49663192
149094,0.5033716,0.4966284
452988,0.50337267,0.49662736
260472,0.5033751,0.4966249
3000824,0.50337803,0.49662194
40506074,0.50337803,0.49662194
277822,0.50337803,0.49662194
90663906,0.5033798,0.49662018
21854431,0.5033805,0.49661952
145710203,0.5033843,0.4966157
21136976,0.50338626,0.4966137
92132221,0.50338745,0.49661258
134693185,0.50338745,0.49661258
12873547,0.50338745,0.49661258
6451965,0.50338745,0.49661258
9835200,0.5033902,0.49660978
23519662,0.50339043,0.4966096
497923,0.50339603,0.49660394
53699095,0.5033981,0.49660188
137036988,0.50339866,0.49660134
92887,0.5033988,0.49660125
44124071,0.50339913,0.49660084
136273848,0.50339997,0.4966
3005556,0.50340104,0.49659896
504734,0.5034012,0.49659878
3005548,0.50340307,0.49659693
129874,0.50340575,0.49659425
6481847,0.50340956,0.49659044
6481848,0.50340956,0.49659044
510978,0.5034098,0.4965902
101114242,0.503411,0.496589
76973301,0.50341177,0.4965882
5271695,0.5034121,0.49658784
452892,0.50341284,0.49658713
71394590,0.5034131,0.4965869
5273750,0.50341403,0.49658597
71309346,0.5034144,0.4965856
92236348,0.503415,0.496585
17756742,0.5034174,0.49658266
135973951,0.5034184,0.4965816
71317045,0.5034224,0.4965776
6479139,0.5034243,0.4965757
479303,0.5034256,0.49657443
71749030,0.5034283,0.49657172
514812,0.5034283,0.49657172
15081290,0.5034305,0.49656948
163203168,0.5034307,0.49656925
10708101,0.503432,0.49656802
121487308,0.50343335,0.49656668
23519658,0.5034342,0.49656585
10849624,0.5034365,0.4965635
11196791,0.503438,0.49656197
121007158,0.5034398,0.49656022
121487445,0.5034399,0.4965601
121486881,0.50344014,0.49655986
3037189,0.50344056,0.49655944
21144466,0.50344115,0.49655885
92243924,0.50344115,0.49655885
515210,0.50344163,0.49655837
128757,0.5034425,0.4965575
77280370,0.5034425,0.4965575
447199,0.50344276,0.49655727
46780426,0.50344604,0.49655396
133688245,0.50344604,0.49655396
24820718,0.5034467,0.49655327
432973,0.503448,0.49655196
131885190,0.503448,0.49655196
150983,0.5034496,0.49655038
5273512,0.5034531,0.49654692
121216429,0.50345725,0.49654275
5276735,0.50345844,0.49654156
5289205,0.5034654,0.4965346
15118681,0.5034668,0.49653322
92339825,0.5034678,0.49653223
3010378,0.5034678,0.49653223
127734,0.50346804,0.49653193
58463530,0.5034683,0.49653175
3006170,0.5034706,0.4965294
92236337,0.5034706,0.4965294
340726,0.50347155,0.49652845
137179823,0.5034754,0.49652457
161806,0.5034758,0.4965242
53792010,0.5034778,0.49652222
466018,0.50347817,0.49652183
10754975,0.5034792,0.49652082
5270780,0.50348264,0.49651736
90673699,0.50348425,0.49651575
488247,0.503489,0.49651095
189893,0.503489,0.49651095
121487129,0.503489,0.49651095
23238948,0.5034902,0.49650976
44438827,0.5034908,0.4965092
495034,0.503494,0.496506
10764891,0.503494,0.49650595
42553078,0.50349486,0.4965051
42553079,0.50349486,0.4965051
6435302,0.5034953,0.49650472
512299,0.5034953,0.49650472
6479191,0.5034953,0.49650472
194168,0.503496,0.496504
21117413,0.503496,0.496504
3037666,0.50349796,0.496502
11737644,0.5035001,0.4964999
9878327,0.5035004,0.4964996
13871386,0.5035012,0.49649882
65085,0.50350237,0.49649766
25886830,0.50350237,0.49649766
6560187,0.50350237,0.49649766
191091,0.5035027,0.4964973
131856440,0.503504,0.49649602
259345,0.50350595,0.49649408
135464489,0.50350726,0.4964927
135743936,0.50350904,0.49649096
6602210,0.5035095,0.49649048
128359,0.50351024,0.4964898
21121842,0.5035127,0.49648732
155905580,0.50351346,0.49648654
54428325,0.5035155,0.49648455
510982,0.5035155,0.4964845
135521334,0.50351596,0.496484
136817853,0.50351596,0.496484
135409474,0.5035215,0.4964785
136126104,0.5035215,0.4964785
511014,0.5035216,0.49647838
6451079,0.50352836,0.49647167
3082596,0.5035285,0.49647155
121225517,0.5035306,0.49646935
131884262,0.5035317,0.49646828
6450904,0.5035343,0.49646568
50989698,0.5035343,0.49646568
121487278,0.5035345,0.4964655
6478372,0.5035388,0.4964612
72200,0.50353897,0.496461
73662,0.50353897,0.496461
7204908,0.50353897,0.496461
44629931,0.50353897,0.496461
139592726,0.5035393,0.49646065
137699081,0.5035393,0.49646065
490626,0.503543,0.49645698
25051804,0.50354326,0.49645677
24769759,0.50354326,0.49645677
145705996,0.50354326,0.49645677
11493311,0.50354564,0.49645436
146158597,0.5035486,0.49645135
156588489,0.5035486,0.49645135
11447886,0.503549,0.49645105
135815016,0.5035491,0.49645093
135531159,0.5035491,0.49645093
135625316,0.50354934,0.49645063
14484797,0.50355464,0.49644536
22211374,0.5035604,0.4964396
514815,0.5035604,0.4964396
5271699,0.5035616,0.4964384
419564,0.5035645,0.4964355
21144431,0.5035645,0.4964355
10826879,0.5035651,0.4964349
3007779,0.50356567,0.49643436
6915704,0.50356567,0.49643436
59504127,0.50356644,0.49643356
59504000,0.50356644,0.49643356
59504108,0.50356644,0.49643356
21815879,0.5035667,0.49643332
163320833,0.5035677,0.4964323
6481577,0.50357044,0.49642956
15277413,0.5035706,0.49642938
53642991,0.5035712,0.4964288
13205977,0.5035712,0.4964288
135583322,0.50357133,0.49642867
101245382,0.5035738,0.49642625
92247166,0.5035759,0.49642408
287302,0.5035759,0.49642408
135994927,0.5035809,0.49641904
10266797,0.5035838,0.4964162
134693227,0.50358766,0.49641234
92221238,0.50358766,0.49641234
