cid,Activite,IsomericSMILES,Canonical_smiles
44438040,0,CC1=CC(=CN2C1=NC=C2CSCCC3=CC=CC=C3)C4=CC=CS4,Cc1cc(-c2cccs2)cn2c(CSCCc3ccccc3)cnc12
44438041,0,CC1=CN2C(=CN=C2C(=C1)C3=CC=CS3)CSCCC4=CC=CC=C4,Cc1cc(-c2cccs2)c2ncc(CSCCc3ccccc3)n2c1
16110734,0,C1=NC(=NC(=O)N1CCOCP(=O)(O)O)N,Nc1ncn(CCOCP(=O)(O)O)c(=O)n1
24814937,0,C=CCNC(=S)NC1=CC=C(C=C1)OCC2=NNC(=S)N2C3=CC=CC=C3,C=CCNC(=S)Nc1ccc(OCc2n[nH]c(=S)n2-c2ccccc2)cc1
44387978,0,C1CCN(C1)C(=O)C(CC2=CC=CC=C2)NC(=O)N3C4=CC=CC=C4N=N3,O=C(C(Cc1ccccc1)NC(=O)n1nnc2ccccc21)N1CCCC1
44388008,0,C1CCC(C1)NC(=O)C(CC2=CC=CC=C2)NC(=O)N3C4=CC=CC=C4N=N3,O=C(NC1CCCC1)C(Cc1ccccc1)NC(=O)n1nnc2ccccc21
9860116,0,C1=CC=C(C=C1)CN2C(=O)C(NC2=O)C3=CC=CC=C3,O=C1NC(c2ccccc2)C(=O)N1Cc1ccccc1
44387982,0,CCC(C)C(C(=O)NCC1=CC=CC=C1)NC(=O)N2C3=CC=CC=C3N=N2,CCC(C)C(NC(=O)n1nnc2ccccc21)C(=O)NCc1ccccc1
5273849,0,CC(C)C1C(=O)N(C(=O)N1)C2CCCCC2,CC(C)C1NC(=O)N(C2CCCCC2)C1=O
14842479,0,C1=CC=C(C=C1)CC(C(=O)NCC2=CC=CC=C2)NC(=O)N3C4=CC=CC=C4N=N3,O=C(NCc1ccccc1)C(Cc1ccccc1)NC(=O)n1nnc2ccccc21
5273850,0,CCC(C)C1C(=O)N(C(=O)N1)C2CCCC2,CCC(C)C1NC(=O)N(C2CCCC2)C1=O
