cid,Probability of nontox,Probability of tox
156595074,0.820708854286672,0.17929114571332802
21854783,0.8207471388472936,0.17925286115270647
70833226,0.8207471388472938,0.17925286115270622
129318779,0.8209794410252453,0.17902055897475463
451851,0.8209819476374518,0.17901805236254814
460247,0.8209833691830366,0.17901663081696337
10685594,0.8209980038976568,0.1790019961023433
2783871,0.8210068237495177,0.17899317625048228
13121580,0.8210068237495178,0.17899317625048217
76974604,0.8210517287822487,0.1789482712177512
131708567,0.8210761853288756,0.17892381467112436
192597,0.8211388947984097,0.17886110520159026
101190254,0.8212695842233311,0.17873041577666898
121487370,0.8213485575014748,0.17865144249852516
14885959,0.8213871473566592,0.17861285264334079
480264,0.8213871473566593,0.17861285264334073
14885960,0.8213871473566593,0.17861285264334067
14885958,0.8213871473566593,0.17861285264334067
121487418,0.8213926829250724,0.17860731707492766
451887,0.8214009250389726,0.17859907496102742
14726901,0.8214009250389726,0.17859907496102742
122109,0.8214009250389727,0.17859907496102728
9835200,0.8214041435766299,0.17859585642337
131885779,0.8214444139952553,0.17855558600474478
92271314,0.8214672702150912,0.17853272978490872
6857539,0.8214672702150912,0.17853272978490872
111081,0.8215112391393857,0.17848876086061427
688364,0.8215112391393857,0.17848876086061427
10467582,0.8217901757149091,0.1782098242850909
44146603,0.8218730341630798,0.17812696583692017
131859677,0.8219044215286191,0.17809557847138088
135398630,0.8219176674743252,0.1780823325256748
171228,0.8219489812829424,0.17805101871705764
155889187,0.8220263284346224,0.1779736715653776
154704811,0.8220263284346225,0.17797367156537747
137699529,0.8221835949824928,0.17781640501750715
134715536,0.8222106666969858,0.17778933330301416
71749030,0.8222444063851053,0.1777555936148947
514812,0.8222444063851053,0.1777555936148947
512321,0.822254250604616,0.177745749395384
10633834,0.8224436461148724,0.1775563538851276
16666490,0.8224585933743995,0.17754140662560047
5702211,0.8226331733245126,0.17736682667548745
643968,0.8226331733245126,0.17736682667548745
70610597,0.8226331733245127,0.17736682667548734
13071731,0.8226331733245127,0.17736682667548734
43834572,0.8226331733245127,0.17736682667548734
853012,0.8226331733245127,0.17736682667548734
121487084,0.8226383958064771,0.17736160419352293
23257697,0.8226558030206117,0.17734419697938825
15333745,0.8226558030206117,0.17734419697938825
92132289,0.8226558030206125,0.17734419697938753
132890569,0.8226558030206125,0.17734419697938753
18650247,0.8227013308879706,0.17729866911202938
54215385,0.8227756585155446,0.17722434148445548
56608890,0.8227778845208412,0.1772221154791588
380084,0.8227855969841631,0.17721440301583694
72250,0.8227855969841631,0.17721440301583694
5271955,0.822792465526618,0.17720753447338197
14826108,0.8228276142961026,0.17717238570389743
453016,0.8229081111939915,0.17709188880600843
131884784,0.8229577089975783,0.17704229100242178
137700708,0.8230584106059663,0.17694158939403368
509186,0.8232417322356009,0.17675826776439912
509184,0.8232417322356009,0.17675826776439912
453461,0.8232417322356009,0.17675826776439912
444892,0.8232584477665522,0.17674155223344776
136025255,0.8232673804249542,0.17673261957504588
135433550,0.8233505111528212,0.17664948884717882
11622526,0.8234016844740573,0.1765983155259428
453830,0.8234934214667321,0.17650657853326793
473827,0.8234947192200535,0.1765052807799465
121487312,0.8236007268213501,0.17639927317864984
49849901,0.8237828895494165,0.17621711045058353
453821,0.8238141923622422,0.17618580763775782
460321,0.8238252252325775,0.1761747747674225
13845047,0.8238275954733616,0.17617240452663843
251784,0.8239091714245204,0.17609082857547967
7272023,0.8239091714245205,0.17609082857547953
126968805,0.8239091714245205,0.17609082857547953
11276944,0.8239091714245205,0.17609082857547953
25728863,0.8239091714245205,0.17609082857547953
139024751,0.8239091714245205,0.17609082857547953
5319815,0.8239173317644325,0.1760826682355675
92751,0.8239217468038079,0.1760782531961921
12313774,0.8239217468038081,0.17607825319619183
10999219,0.8239950446523734,0.17600495534762667
129148840,0.8241815600465715,0.17581843995342847
71750617,0.8241932098929597,0.17580679010704026
146674821,0.8242456945227963,0.17575430547720372
55281,0.8242970370458528,0.17570296295414722
9943636,0.8242970370458528,0.17570296295414722
11832095,0.8242992884402593,0.17570071155974062
21778597,0.824307645369518,0.17569235463048202
51409932,0.8243076453695182,0.17569235463048188
12111611,0.8243076453695182,0.17569235463048188
464365,0.8243076453695182,0.17569235463048188
279519,0.8243076453695182,0.17569235463048188
6426867,0.8243262935034441,0.17567370649655584
6426868,0.8243262935034441,0.17567370649655584
475377,0.8243361822255647,0.17566381777443527
464603,0.8243454821692469,0.17565451783075317
91668444,0.8243497224846372,0.1756502775153628
5272906,0.8244554452571562,0.17554455474284386
3908006,0.8244719365732577,0.17552806342674235
6473718,0.8244719365732577,0.1755280634267423
452029,0.824471936573258,0.17552806342674201
55262,0.824471936573258,0.17552806342674201
11777114,0.8246634335401101,0.17533656645988996
1814,0.824728737450672,0.17527126254932807
12922945,0.8247287374506721,0.17527126254932793
7059457,0.8247287374506721,0.17527126254932793
2783891,0.8247287374506721,0.17527126254932793
155905558,0.8247526340274582,0.17524736597254179
13989061,0.8248284841045073,0.17517151589549268
13989062,0.8248284841045075,0.17517151589549254
7282378,0.824862580089778,0.17513741991022197
99592,0.824862580089778,0.17513741991022197
126639768,0.8248625800897781,0.17513741991022194
498020,0.8249072030724023,0.17509279692759772
71303724,0.8249463345877024,0.17505366541229755
53792010,0.8249907032286606,0.1750092967713394
21151082,0.8251594951192651,0.17484050488073485
453781,0.8251767483604087,0.1748232516395913
97300838,0.8251904145481954,0.1748095854518046
1362170,0.8252731475729416,0.17472685242705838
10900246,0.8252731475729416,0.17472685242705838
7079501,0.8252731475729416,0.17472685242705838
264088,0.8252731475729419,0.1747268524270581
72327,0.8253603217361668,0.17463967826383317
5270576,0.8253603217361668,0.17463967826383317
13590781,0.8253603217361668,0.17463967826383317
159498,0.8253603217361668,0.17463967826383317
44289645,0.8253603217361669,0.17463967826383303
71314901,0.8253603217361669,0.17463967826383303
21115140,0.8253603217361669,0.17463967826383303
511463,0.8254103357947835,0.1745896642052165
